src_ip,des_ip,src_port,dest_port,tcp_flag,protocol,tls_version,dns_query_type,http_method,icmp_type_code,as_path,ttl_hop,start_time,end_time,packs_count,bytes_count,label
185.96.179.102,206.200.29.164,594,53365,ACK,UDP,TLS 1.0,MX,DELETE,Echo Reply,44723 23270,44,2025-04-26 19:36:42.126754,2025-04-26 19:45:25.141813,603,5712,0
34.29.37.37,135.212.5.157,24692,21341,FIN,ICMP,TLS 1.3,A,POST,Destination Unreachable,11991 28881,137,2025-04-26 19:53:17.126754,2025-04-26 20:31:13.126754,72,5812,0
104.160.15.72,109.147.87.192,36153,43542,URG,UDP,TLS 1.0,TXT,DELETE,Echo Request,48865 46952,165,2025-04-26 19:24:41.126754,2025-04-26 19:34:37.126754,290,6484,1
90.205.163.43,204.191.200.100,16259,7776,ACK,UDP,TLS 1.1,TXT,PUT,Echo Request,28405 63488,244,2025-04-26 19:27:15.126754,2025-04-26 19:28:32.126754,724,8342,0
241.139.45.67,248.164.134.185,2660,8715,URG,UDP,TLS 1.2,AAAA,DELETE,Echo Reply,32886 10597,73,2025-04-26 18:57:13.126754,2025-04-26 19:13:40.141813,500,1284,0
193.193.191.218,255.24.82.52,26828,24425,PSH,UDP,TLS 1.2,CNAME,HEAD,Destination Unreachable,14788 10858,49,2025-04-26 18:56:52.126754,2025-04-26 19:29:33.141813,326,65357,1
118.227.143.199,221.70.164.49,48915,243,RST,TCP,TLS 1.3,A,GET,Destination Unreachable,17841 23038,185,2025-04-26 19:05:53.126754,2025-04-26 19:13:40.141813,641,6818,0
107.101.202.211,7.219.216.44,27966,36391,FIN,ICMP,TLS 1.3,AAAA,GET,Echo Request,48812 11782,227,2025-04-26 19:27:44.126754,2025-04-26 20:17:34.126754,501,6547,0
111.64.154.81,68.98.189.220,42721,512,RST,TCP,TLS 1.2,A,HEAD,Echo Reply,34056 40093,225,2025-04-26 18:59:28.126754,2025-04-26 19:01:39.126754,543,4694,0
45.114.142.182,41.23.10.150,48616,29357,SYN,ICMP,TLS 1.3,A,PUT,Echo Request,10844 36252,170,2025-04-26 19:53:24.126754,2025-04-26 20:29:36.126754,744,4328,0
171.133.184.132,153.158.123.231,40802,11103,ACK,ICMP,TLS 1.1,AAAA,POST,Destination Unreachable,58094 63898,194,2025-04-26 19:31:37.126754,2025-04-26 19:54:24.141813,608,5462,0
20.39.255.157,9.122.20.143,304,47332,SYN,TCP,TLS 1.1,MX,PUT,Echo Reply,52531 61714,207,2025-04-26 19:08:13.126754,2025-04-26 19:43:02.141813,535,5934,0
9.233.207.111,106.209.32.45,32902,14712,SYN,ICMP,TLS 1.1,A,PUT,Destination Unreachable,43244 40614,16,2025-04-26 19:17:19.126754,2025-04-26 20:02:16.126754,825,9585,0
86.105.1.233,75.186.77.229,49381,57345,SYN,TCP,TLS 1.3,MX,HEAD,Echo Request,15216 4296,1,2025-04-26 19:38:48.126754,2025-04-26 19:55:41.126754,257,3067,0
223.61.196.186,80.35.70.84,8080,34681,ACK,ICMP,TLS 1.0,MX,PUT,Echo Request,10069 34830,71,2025-04-26 19:04:37.126754,2025-04-26 19:21:47.141813,228,8995,1
24.184.29.195,252.252.167.242,62824,10156,ACK,UDP,TLS 1.1,MX,DELETE,Destination Unreachable,51838 37915,226,2025-04-26 19:06:59.126754,2025-04-26 19:37:07.126754,70,4885,0
190.15.157.193,20.252.151.235,50659,34351,FIN,UDP,TLS 1.3,CNAME,DELETE,Echo Request,40301 48171,10,2025-04-26 19:49:19.126754,2025-04-26 20:19:45.126754,113,3667,0
203.218.173.57,166.152.60.241,14967,45824,SYN,ICMP,TLS 1.1,CNAME,GET,Destination Unreachable,5802 39697,198,2025-04-26 19:07:56.126754,2025-04-26 19:44:00.141813,557,7754,0
